"seed","file","fdr_col","threshold","target_pass","target_total","decoy_pass","decoy_total"
1,"drep_tcell100p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
1,"drep_tcell100p_scored_target_seed1_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
2,"drep_tcell100p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
2,"drep_tcell100p_scored_target_seed2_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
3,"drep_tcell100p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
3,"drep_tcell100p_scored_target_seed3_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
4,"drep_tcell100p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
4,"drep_tcell100p_scored_target_seed4_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
5,"drep_tcell100p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
5,"drep_tcell100p_scored_target_seed5_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
6,"drep_tcell100p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
6,"drep_tcell100p_scored_target_seed6_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
7,"drep_tcell100p_scored_target_seed7_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
7,"drep_tcell100p_scored_target_seed7_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,117,132,0,0
8,"drep_tcell100p_scored_target_seed8_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,77,132,0,0
8,"drep_tcell100p_scored_target_seed8_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,117,132,0,0
9,"drep_tcell100p_scored_target_seed9_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
9,"drep_tcell100p_scored_target_seed9_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
10,"drep_tcell100p_scored_target_seed10_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
10,"drep_tcell100p_scored_target_seed10_label0_pep_ipspline.txt","pyIsoPEP FDR",0.05,118,132,0,0
11,"drep_tcell100p_scored_target_seed11_label0_pep_ipspline.txt","pyIsoPEP FDR",0.01,76,132,0,0
