"basename","seed","threshold","pep_pass","pep_total","q_pass","q_total"
"drep_tcell100p_scored_target",1,0.01,109,132,125,132
"tcell0pt3p_scored_target",1,0.01,0,132,0,132
"tcell10p_scored_target",1,0.01,66,132,76,132
"tcell1p_scored_target",1,0.01,0,132,0,132
"tcell30p_scored_target",1,0.01,94,132,106,132
"tcell3p_scored_target",1,0.01,0,132,56,132
"drep_tcell100p_scored_target",2,0.01,109,132,126,132
"tcell0pt3p_scored_target",2,0.01,26,132,0,132
"tcell10p_scored_target",2,0.01,66,132,76,132
"tcell1p_scored_target",2,0.01,0,132,0,132
"tcell30p_scored_target",2,0.01,94,132,104,132
"tcell3p_scored_target",2,0.01,0,132,56,132
"drep_tcell100p_scored_target",3,0.01,109,132,125,132
"tcell0pt3p_scored_target",3,0.01,0,132,0,132
"tcell10p_scored_target",3,0.01,66,132,78,132
"tcell1p_scored_target",3,0.01,13,132,0,132
"tcell30p_scored_target",3,0.01,94,132,102,132
"tcell3p_scored_target",3,0.01,39,132,51,132
"drep_tcell100p_scored_target",4,0.01,109,132,125,132
"tcell0pt3p_scored_target",4,0.01,25,132,0,132
"tcell10p_scored_target",4,0.01,66,132,75,132
"tcell1p_scored_target",4,0.01,0,132,0,132
"tcell30p_scored_target",4,0.01,94,132,104,132
"tcell3p_scored_target",4,0.01,0,132,55,132
"drep_tcell100p_scored_target",5,0.01,109,132,125,132
"tcell0pt3p_scored_target",5,0.01,25,132,0,132
"tcell10p_scored_target",5,0.01,66,132,77,132
"tcell1p_scored_target",5,0.01,25,132,0,132
"tcell30p_scored_target",5,0.01,94,132,103,132
"tcell3p_scored_target",5,0.01,38,132,55,132
"drep_tcell100p_scored_target",6,0.01,109,132,125,132
"tcell0pt3p_scored_target",6,0.01,26,132,0,132
"tcell10p_scored_target",6,0.01,66,132,76,132
"tcell1p_scored_target",6,0.01,0,132,0,132
"tcell30p_scored_target",6,0.01,94,132,104,132
"tcell3p_scored_target",6,0.01,0,132,56,132
"drep_tcell100p_scored_target",7,0.01,109,132,125,132
"tcell0pt3p_scored_target",7,0.01,25,132,0,132
"tcell10p_scored_target",7,0.01,66,132,78,132
"tcell1p_scored_target",7,0.01,0,132,0,132
"tcell30p_scored_target",7,0.01,94,132,104,132
"tcell3p_scored_target",7,0.01,0,132,56,132
"drep_tcell100p_scored_target",8,0.01,109,132,126,132
"tcell0pt3p_scored_target",8,0.01,26,132,0,132
"tcell10p_scored_target",8,0.01,66,132,76,132
"tcell1p_scored_target",8,0.01,0,132,0,132
"tcell30p_scored_target",8,0.01,94,132,102,132
"tcell3p_scored_target",8,0.01,39,132,51,132
"drep_tcell100p_scored_target",9,0.01,109,132,125,132
"tcell0pt3p_scored_target",9,0.01,26,132,0,132
"tcell10p_scored_target",9,0.01,66,132,78,132
"tcell1p_scored_target",9,0.01,0,132,0,132
"tcell30p_scored_target",9,0.01,94,132,104,132
"tcell3p_scored_target",9,0.01,39,132,54,132
"drep_tcell100p_scored_target",10,0.01,109,132,125,132
"tcell0pt3p_scored_target",10,0.01,0,132,0,132
"tcell10p_scored_target",10,0.01,65,132,70,132
"tcell1p_scored_target",10,0.01,0,132,0,132
"tcell30p_scored_target",10,0.01,94,132,103,132
"tcell3p_scored_target",10,0.01,39,132,54,132
"drep_tcell100p_scored_target",11,0.01,109,132,125,132
"tcell0pt3p_scored_target",11,0.01,25,132,0,132
"tcell10p_scored_target",11,0.01,66,132,78,132
"tcell1p_scored_target",11,0.01,0,132,0,132
"tcell30p_scored_target",11,0.01,94,132,104,132
"tcell3p_scored_target",11,0.01,38,132,54,132
"drep_tcell100p_scored_target",12,0.01,109,132,126,132
"tcell0pt3p_scored_target",12,0.01,0,132,0,132
"tcell10p_scored_target",12,0.01,66,132,73,132
"tcell1p_scored_target",12,0.01,0,132,0,132
"tcell30p_scored_target",12,0.01,94,132,102,132
"tcell3p_scored_target",12,0.01,52,132,59,132
"drep_tcell100p_scored_target",13,0.01,109,132,125,132
"tcell0pt3p_scored_target",13,0.01,0,132,0,132
"tcell10p_scored_target",13,0.01,66,132,79,132
"tcell1p_scored_target",13,0.01,0,132,0,132
"tcell30p_scored_target",13,0.01,94,132,104,132
"tcell3p_scored_target",13,0.01,0,132,54,132
"drep_tcell100p_scored_target",14,0.01,109,132,126,132
