"seed","basename","file","threshold","pep_total","pep_pass","q_total","q_pass"
1,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed1_label0_pep_ipspline.txt",0.01,132,109,132,125
1,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed1_label0_pep_ipspline.txt",0.05,132,113,132,127
2,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed2_label0_pep_ipspline.txt",0.01,132,109,132,126
2,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed2_label0_pep_ipspline.txt",0.05,132,113,132,127
3,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed3_label0_pep_ipspline.txt",0.01,132,109,132,125
3,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed3_label0_pep_ipspline.txt",0.05,132,113,132,127
4,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed4_label0_pep_ipspline.txt",0.01,132,109,132,125
4,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed4_label0_pep_ipspline.txt",0.05,132,113,132,127
5,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed5_label0_pep_ipspline.txt",0.01,132,109,132,125
5,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed5_label0_pep_ipspline.txt",0.05,132,112,132,127
6,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed6_label0_pep_ipspline.txt",0.01,132,109,132,125
6,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed6_label0_pep_ipspline.txt",0.05,132,113,132,127
7,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed7_label0_pep_ipspline.txt",0.01,132,109,132,125
7,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed7_label0_pep_ipspline.txt",0.05,132,113,132,126
8,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed8_label0_pep_ipspline.txt",0.01,132,109,132,126
8,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed8_label0_pep_ipspline.txt",0.05,132,113,132,126
9,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed9_label0_pep_ipspline.txt",0.01,132,109,132,125
9,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed9_label0_pep_ipspline.txt",0.05,132,113,132,127
10,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed10_label0_pep_ipspline.txt",0.01,132,109,132,125
10,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed10_label0_pep_ipspline.txt",0.05,132,112,132,127
11,"drep_tcell100p_scored_target","drep_tcell100p_scored_target_seed11_label0_pep_ipspline.txt",0.01,132,109,132,125
